系列,遭遇组,编号,卡牌名称,英文名称,类型,探险编号,图片链接,卡牌数量,探险进度,交战值,威胁值,攻击力,防御值,探险点数,生命值,意志值,特性,胜利,魔影效果,准备卡牌,放置一旁,航行
穿越黑森林,,1,苍蝇与蜘蛛,Flies and Spiders,探险,1a,51223bd0-ffd1-11df-a976-0801200c9119,1,0,,,,,,,,,,,森林蜘蛛|老密林路,,
穿越黑森林,,2,苍蝇与蜘蛛,Flies and Spiders,探险,1b,51223bd0-ffd1-11df-a976-0801200c9119.B,1,8,,,,,,,,,,,,,
穿越黑森林,,3,分岔路,A Fork in the Road,探险,2a,51223bd0-ffd1-11df-a976-0801200c9121,1,0,,,,,,,,,,,,,
穿越黑森林,,4,分岔路,A Fork in the Road,探险,2b,51223bd0-ffd1-11df-a976-0801200c9121.B,1,2,,,,,,,,,,,,,
穿越黑森林,,5,所选之路,A Chosen Fath,探险,3a,51223bd0-ffd1-11df-a976-0801200c9123,1,0,,,,,,,,,,,,,
穿越黑森林,,6,“千万不要离开正路！”,A Chosen Path (Don't Leave the Path),探险,3b,51223bd0-ffd1-11df-a976-0801200c9123.B,1,0,,,,,,,,,,,,,
穿越黑森林,,7,贝奥恩之路,A Chosen Path (Beorn's Path),探险,3b,51223bd0-ffd1-11df-a976-0801200c9123.C,1,10,,,,,,,,,,,,,
穿越黑森林,穿越黑森林,8,森林蜘蛛,Forest Spider,敌人,,51223bd0-ffd1-11df-a976-0801200c9096,4,,25,2,2,1,,4,,生物|蜘蛛,,1,,,
穿越黑森林,穿越黑森林,9,东林弯巡逻队,East Bight Patrol,敌人,,51223bd0-ffd1-11df-a976-0801200c9097,1,,5,3,3,1,,2,,奥克|半兽人,,1,,,
穿越黑森林,穿越黑森林,10,漆黑森林蝙蝠,Black Forest Bats,敌人,,51223bd0-ffd1-11df-a976-0801200c9098,1,,15,1,1,0,,2,,生物,,,,,
穿越黑森林,穿越黑森林,11,老密林路,Old Forest Road,地区,,51223bd0-ffd1-11df-a976-0801200c9099,2,,,1,,,3,,,森林,,,,,
穿越黑森林,穿越黑森林,12,森林之门,Forest Gate,地区,,51223bd0-ffd1-11df-a976-0801200c9100,2,,,2,,,4,,,森林,,,,,
穿越黑森林,多古尔都兽人,13,多古尔都奥克,Dol Guldur Orcs,敌人,,51223bd0-ffd1-11df-a976-0801200c9089,3,,10,2,2,0,,3,,多古尔都|奥克,,1,,,
穿越黑森林,多古尔都兽人,14,乌夫沙克首领,Chieftan Ufthak,敌人,,51223bd0-ffd1-11df-a976-0801200c9090,1,,35,2,3,3,,6,,多古尔都|奥克,,,,,
穿越黑森林,多古尔都兽人,15,多古尔都驯兽师,Dol Guldur Beastmaster,敌人,,51223bd0-ffd1-11df-a976-0801200c9091,2,,35,2,3,1,,5,,多古尔都|奥克,,,,,
穿越黑森林,多古尔都兽人,16,魔影驱使,Driven by Shadow,诡计,,51223bd0-ffd1-11df-a976-0801200c9092,1,,,,,,,,,,,1,,,
穿越黑森林,多古尔都兽人,17,死灵法师之触,The Necromancer's Reach,诡计,,51223bd0-ffd1-11df-a976-0801200c9093,3,,,,,,,,,,,,,,
穿越黑森林,多古尔都兽人,18,死灵法师的隘口,Necromancer's Pass,地区,,51223bd0-ffd1-11df-a976-0801200c9094,2,,,3,,,2,,,要塞|多古尔都,,,,,
穿越黑森林,多古尔都兽人,19,魔法小溪,Enchanted Stream,地区,,51223bd0-ffd1-11df-a976-0801200c9095,2,,,2,,,2,,,森林,,,,,
穿越黑森林,黑森林的蜘蛛,20,王蜘蛛,King Spider,敌人,,51223bd0-ffd1-11df-a976-0801200c9074,2,,20,2,3,1,,3,,生物|蜘蛛,,1,,,
穿越黑森林,黑森林的蜘蛛,21,蜇刺毒蜂,Hummerhorns,敌人,,51223bd0-ffd1-11df-a976-0801200c9075,1,,40,1,2,0,,3,,生物|昆虫,,1,,,
穿越黑森林,黑森林的蜘蛛,22,乌苟立安特的子嗣,Ungoliant's Spawn,敌人,,51223bd0-ffd1-11df-a976-0801200c9076,1,,32,3,5,2,,9,,生物|蜘蛛,,1,,,
穿越黑森林,黑森林的蜘蛛,23,密布蛛网的森林,Great Forest Web,地区,,51223bd0-ffd1-11df-a976-0801200c9077,2,,,2,,,2,,,森林,,,,,
穿越黑森林,黑森林的蜘蛛,24,黑森林山脉,Mountains of Mirkwood,地区,,51223bd0-ffd1-11df-a976-0801200c9078,3,,,2,,,3,,,森林|山脉,,,,,
穿越黑森林,黑森林的蜘蛛,25,森林中的眼睛,Eyes of the Forest,诡计,,51223bd0-ffd1-11df-a976-0801200c9079,1,,,,,,,,,,,,,,
穿越黑森林,黑森林的蜘蛛,26,身限蛛网,Caught in a Web,诡计,,51223bd0-ffd1-11df-a976-0801200c9080,2,,,,,,,,,,,,,,
沿河而下,荒野之地,27,狼骑兵,Misty Mountain Goblins,敌人,,51223bd0-ffd1-11df-a976-0801200c9081,1,,10,1,2,0,,2,,奥克|半兽人,,1,,,
沿河而下,荒野之地,28,山区食人妖,Hill Troll,敌人,,51223bd0-ffd1-11df-a976-0801200c9082,2,,30,1,6,3,,9,,食人妖,,,,,
沿河而下,荒野之地,29,半兽人射手,Goblin Sniper,敌人,,51223bd0-ffd1-11df-a976-0801200c9083,2,,48,2,2,0,,2,,奥克|半兽人,,,,,
沿河而下,荒野之地,30,沼泽蝰蛇,Marsh Adder,敌人,,51223bd0-ffd1-11df-a976-0801200c9084,1,,40,3,4,1,,7,,生物,,,,,
沿河而下,荒野之地,31,座狼,Wargs,敌人,,51223bd0-ffd1-11df-a976-0801200c9085,2,,20,2,3,1,,3,,生物,,1,,,
沿河而下,荒野之地,32,陷入绝望,Wargs,诡计,,51223bd0-ffd1-11df-a976-0801200c9086,2,,,,,,,,,,,,,,
沿河而下,荒野之地,33,褐地,The Brown Lands,地区,,51223bd0-ffd1-11df-a976-0801200c9087,2,,,5,,,1,,,荒野,,,,,
沿河而下,荒野之地,34,东林弯,The East Bight,地区,,51223bd0-ffd1-11df-a976-0801200c9088,2,,,1,,,6,,,荒野,,,,,
沿河而下,,35,来到河边,To the River...,探险,1a,51223bd0-ffd1-11df-a976-0801200c9133,1,0,,,,,,,,,,,@每位玩家翻遭遇牌库顶,,
沿河而下,,36,来到河边,To the River...,探险,1b,51223bd0-ffd1-11df-a976-0801200c9133.B,1,8,,,,,,,,,,,,,
沿河而下,,37,安都因河的航程,Anduin Passage,探险,2a,51223bd0-ffd1-11df-a976-0801200c9135,1,0,,,,,,,,,,,,,
沿河而下,,38,安都因河的航程,Anduin Passage,探险,2b,51223bd0-ffd1-11df-a976-0801200c9135.B,1,16,,,,,,,,,,,,,
沿河而下,,39,岸上的伏击,Ambush on the Shore,探险,3a,51223bd0-ffd1-11df-a976-0801200c9137,1,0,,,,,,,,,,,,,
沿河而下,,40,岸上的伏击,Ambush on the Shore,探险,3b,51223bd0-ffd1-11df-a976-0801200c9137.B,1,0,,,,,,,,,,,,,
沿河而下,沿河而下,41,迷雾山脉半兽人,Misty Mountain Goblins,敌人,,51223bd0-ffd1-11df-a976-0801200c9111,3,,15,2,2,1,,3,,奥克|半兽人,,1,,,
沿河而下,沿河而下,42,夜幕中的集结,Massing at Night,诡计,,51223bd0-ffd1-11df-a976-0801200c9112,1,,,,,,,,,,,1,,,
沿河而下,沿河而下,43,安都因河岸,Banks of the Anduin,地区,,51223bd0-ffd1-11df-a976-0801200c9113,2,,,1,,,3,,,河岸,,,,,
沿河而下,沿河而下,44,金鸢尾原野,Gladden Fields,地区,,51223bd0-ffd1-11df-a976-0801200c9114,3,,,3,,,3,,,沼地,,,,,
沿河而下,索伦的掌控,45,东方的鸟鸦,Eastern Crows,敌人,,51223bd0-ffd1-11df-a976-0801200c9115,3,,30,1,1,0,,1,,生物,,1,,,
沿河而下,索伦的掌控,46,邪恶的风暴,Evil Storm,诡计,,51223bd0-ffd1-11df-a976-0801200c9116,3,,,,,,,,,,,,,,
沿河而下,索伦的掌控,47,魔影追击,Pursued by Shadow,诡计,,51223bd0-ffd1-11df-a976-0801200c9117,2,,,,,,,,,,,1,,,
沿河而下,索伦的掌控,48,险恶的迷雾,Treacherous Fog,诡计,,51223bd0-ffd1-11df-a976-0801200c9118,2,,,,,,,,,,,,,,
逃离多古尔都,,49,死灵法师之塔,The Necromancer's Tower,探险,1a,51223bd0-ffd1-11df-a976-0801200c9127,1,0,,,,,,,,,,,,,
逃离多古尔都,,50,死灵法师之塔,The Necromancer's Tower,探险,1b,51223bd0-ffd1-11df-a976-0801200c9127.B,1,9,,,,,,,,,,,,,
逃离多古尔都,,51,穿越洞穴,Through the Caverns,探险,2a,51223bd0-ffd1-11df-a976-0801200c9129,1,0,,,,,,,,,,,,,
逃离多古尔都,,52,穿越洞穴,Through the Caverns,探险,2b,51223bd0-ffd1-11df-a976-0801200c9129.B,1,15,,,,,,,,,,,,,
逃离多古尔都,,53,撤离地牢,Out of the Dungeons,探险,3a,51223bd0-ffd1-11df-a976-0801200c9131,1,0,,,,,,,,,,,,,
